t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
115,73.9999999999999,110.0,0.6727272727272718,0.5664188537235281,0.30113493018722504,5,8,none,0,2,18543.383838383834,0.6153846153846154,0.8666666666666658,95.33333333333324,159.99999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.6666666666669,0.0
116,50.33333333333324,110.0,0.45757575757575675,0.5664188537235281,0.30113493018722504,3,1,none,0,2,18712.020202020198,0.25,0.9242424242424234,101.66666666666657,168.6363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.3333333333335,0.0
117,72.66666666666657,110.0,0.6606060606060598,0.5664188537235281,0.30113493018722504,4,5,none,0,2,18890.202020202018,0.5555555555555556,0.987878787878787,108.66666666666657,178.18181818181804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.6666666666668,0.0
118,38.66666666666657,110.0,0.35151515151515067,0.5664188537235281,0.30113493018722504,5,0,none,0,2,19042.92929292929,0.0,0.8181818181818175,89.99999999999991,152.72727272727263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0000000000001,0.0
119,88.66666666666659,110.0,0.8060606060606054,0.5664188537235281,0.30113493018722504,5,10,none,0,2,19222.92929292929,0.6666666666666666,0.9999999999999993,109.99999999999993,179.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.6666666666668,0.0
120,73.99999999999993,110.0,0.6727272727272721,0.5706193112026179,0.2959041697630499,1,5,none,0,2,19355.65656565656,0.8333333333333334,0.6848484848484842,75.33333333333326,132.72727272727263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.3333333333334,0.0
121,23.99999999999993,110.0,0.21818181818181753,0.5706193112026179,0.2959041697630499,3,6,none,0,2,19532.474747474742,0.6666666666666666,0.9787878787878781,107.66666666666659,176.81818181818173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0
122,86.33333333333326,110.0,0.7848484848484841,0.5706193112026179,0.2959041697630499,2,4,none,0,2,19702.929292929286,0.6666666666666666,0.9363636363636357,102.99999999999993,170.45454545454535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.6666666666667,0.0
123,101.6666666666666,110.0,0.9242424242424236,0.5706193112026179,0.2959041697630499,0,10,none,0,2,19871.56565656565,1.0,0.9242424242424236,101.6666666666666,168.63636363636354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.3333333333335,0.0
124,19.33333333333327,110.0,0.1757575757575752,0.5706193112026179,0.2959041697630499,6,6,none,0,2,20040.202020202014,0.5,0.9242424242424236,101.6666666666666,168.63636363636354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0000000000002,0.0
